song_id	line_id	word	lang	part_of_speech	lexeme	transliteration
0	0-1	하나둘씩	kor	NUM	하나둘씩	hanadulssik
0	0-1	늘어가는	kor	S	늘어가는	neureoganeun
0	0-1	꿈	kor	S	꿈	kkum
0	0-1	에	kor	PART	에	e
0	0-1	벅차	kor	A	벅차다	beokcha
0	0-1	no	en		no	None
0	0-1	play	en		play	None
0	0-2	시작	kor	S	시작	sijak
0	0-2	선	kor	S	선	seon
0	0-2	의	kor	PART,gen	의	ui
0	0-2	신호탄	kor	S	신호탄	sinhotan
0	0-2	을	kor	PART,acc	을	eul
0	0-2	쏘아	kor	V,ger	쏘다	ssoa
0	0-2	올려	kor	V	올리다	olryeo
0	0-2	높게	kor	ADV	높	nopge
0	0-3	자신감	kor	S	자신감	jasingam
0	0-3	을	kor	PART,acc	을	eul
0	0-3	앞	kor	S	앞	ap
0	0-3	으로	kor	PART	으로	euro
0	0-3	밀어붙여	kor	V	밀어붙이다	mireobutyeo
0	0-3	밖	kor	S	밖	bak
0	0-3	으로	kor	PART	으로	euro
0	0-4	발	kor	S	발	bal
0	0-4	을	kor	PART,acc	을	eul
0	0-4	내딛고	kor	V,ger	내딛다	naeditgo
0	0-4	떨림과	kor	S	떨리	tteolrimgwa
0	0-4	설렘	kor	S	설레	seolrem
0	0-4	동시	kor	S	동시	dongsi
0	0-4	에	kor	PART	에	e
0	0-4	느껴	kor	V	느끼다	neukkyeo
0	0-4	what	en		what	None
0	0-5	쉬지	kor	V,ger	쉬다	swiji
0	0-5	않고	kor	V,ger	않다	anko
0	0-5	달려	kor	V	달리다	dalryeo
0	0-5	연습실	kor	S	연습실	yeonseupsil
0	0-5	에	kor	PART	에	e
0	0-5	추억	kor	S	추억	chueok
0	1-1	힘들었던	kor	A	힘들다	himdeureotdeon
0	1-1	순간들	kor	S	순간	sungandeul
0	1-1	no	en		no	None
0	1-1	more	en		more	None
0	1-2	홀로	kor	ADV	홀로	holro
0	1-2	선	kor	S	선	seon
0	1-2	시간들	kor	S	시간	sigandeul
0	1-2	no	en		no	None
0	1-2	more	en		more	None
0	1-3	너와	kor	S	너와	neowa
0	1-3	의	kor	PART,gen	의	ui
0	1-3	시작은	kor	S	시작은	sijageun
0	1-3	더이상	kor	ADV	더이상	deoisang
0	1-3	날	kor	S	날	nal
